x_m,y_m,throttle,heading_rad
-1.566222538362352701e+00,5.228460359971583316e+00,4.035993605508748083e-01,1.969043561533852404e+00
-1.611430195274377919e+00,5.207264448672008328e+00,4.039365681998274282e-01,2.005111572548592846e+00
-1.655876822840111728e+00,5.184595254834354350e+00,4.044364792439081868e-01,2.039877669408477701e+00
-1.699568628707865070e+00,5.160460031635649258e+00,4.050631617075784452e-01,2.073734250098739906e+00
-1.742457520612608945e+00,5.134893646796625077e+00,4.057866990012289343e-01,2.106740137258531043e+00
-1.784498149353963559e+00,5.107933030438871036e+00,4.066028004007349317e-01,2.139177816682417799e+00
-1.825628642642167954e+00,5.079630931771639268e+00,4.074998405703363358e-01,2.171086689302198280e+00
-1.865807676035269980e+00,5.050032542017336645e+00,4.084705458422870361e-01,2.202508412160741003e+00
-1.905032746987014969e+00,5.019156485227628473e+00,4.095131501688394349e-01,2.233475676783379882e+00
-1.943268874068869501e+00,4.987046940276094631e+00,4.106206509178902953e-01,2.264025718221848393e+00
-1.980484347679559720e+00,4.953749741612136326e+00,4.117903644418479669e-01,2.294170934712646215e+00
-2.016632885031675926e+00,4.919329763881775897e+00,4.130215355952606693e-01,2.323911483664953259e+00
-2.051710928000048284e+00,4.883816564037021024e+00,4.143163867185120641e-01,2.353249962510318927e+00
-2.085703650449723057e+00,4.847251758630921614e+00,4.156726400659835341e-01,2.382184695743162273e+00
-2.118591580612638747e+00,4.809685225537856823e+00,4.170895127226522114e-01,2.410720389969819966e+00
-2.150356669689468703e+00,4.771169861343864227e+00,4.185669254632421454e-01,2.438836489201146929e+00
-2.180989080085601106e+00,4.731753083404934834e+00,4.201050390488003661e-01,2.466503188313963424e+00
-2.210487333676817823e+00,4.691474453482411988e+00,4.217099249978032427e-01,2.493735830739900017e+00
-2.238843844566186903e+00,4.650384462617735970e+00,4.233800665184594969e-01,2.520521912341564974e+00
-2.266053954282186922e+00,4.608533631008920217e+00,4.251157692559619505e-01,2.546848927502528337e+00
-2.292126134287609140e+00,4.565955073241005024e+00,4.269170617387515465e-01,2.572708966968043853e+00
-2.317060946771553276e+00,4.522696536965510994e+00,4.287838388969268943e-01,2.598069954151474903e+00
-2.340859957264343372e+00,4.478808323986401163e+00,4.307207045016840374e-01,2.622910864709689704e+00
-2.363528865346458119e+00,4.434337597126323693e+00,4.327294412028176995e-01,2.647251434798781222e+00
-2.385082990159138383e+00,4.389315387732210638e+00,4.348103424488802271e-01,2.671095209883400212e+00
-2.405544174295842996e+00,4.343758408534196924e+00,4.369657230816000326e-01,2.694445585059699333e+00
-2.424912020931438761e+00,4.297735356439696730e+00,4.391967086606463067e-01,2.717300847599169344e+00
-2.443201289830225331e+00,4.251287593767968609e+00,4.415063000447640995e-01,2.739660018544717524e+00
-2.460429246800633685e+00,4.204454313386416509e+00,4.438969254588527868e-01,2.761558018877013687e+00
-2.476630579627997264e+00,4.157226947022722996e+00,4.463691862461848792e-01,2.783009441213154744e+00
